layer triggercelleta triggercellphi triggercellieta triggercelliphi
37.0 -1.6774797439575195 -2.116211414337158 -10 121
37.0 -1.63491690158844 -2.116211414337158 -11 121
37.0 -1.5924427509307861 -2.116211414337158 -12 121
37.0 -1.5500643253326416 -2.116211414337158 -13 121
37.0 -1.5077884197235107 -2.116211414337158 -14 121
37.0 -1.4762226343154907 -2.116211414337158 -15 121
37.0 -1.7095222473144531 -2.0725784301757812 -9 120
37.0 -1.6774797439575195 -2.0725784301757812 -10 120
37.0 -1.63491690158844 -2.0725784301757812 -11 120
37.0 -1.5924427509307861 -2.0725784301757812 -12 120
37.0 -1.5500643253326416 -2.0725784301757812 -13 120
37.0 -1.5077884197235107 -2.0725784301757812 -14 120
37.0 -1.4762226343154907 -2.0725784301757812 -15 120
37.0 -1.7095222473144531 -2.028944969177246 -9 119
37.0 -1.67747962474823 -2.028944969177246 -10 119
37.0 -1.6349167823791504 -2.028944969177246 -11 119
37.0 -1.5924427509307861 -2.028944969177246 -12 119
37.0 -1.5500643253326416 -2.028944969177246 -13 119
37.0 -1.5077884197235107 -2.028944969177246 -14 119
37.0 -1.4762227535247803 -2.028944969177246 -15 119
37.0 -1.7095222473144531 -1.9853118658065796 -9 118
37.0 -1.6774797439575195 -1.9853118658065796 -10 118
37.0 -1.63491690158844 -1.9853118658065796 -11 118
37.0 -1.5924427509307861 -1.9853118658065796 -12 118
37.0 -1.5500643253326416 -1.9853118658065796 -13 118
37.0 -1.5077884197235107 -1.9853118658065796 -14 118
37.0 -1.4762226343154907 -1.9853118658065796 -15 118
37.0 -1.7095222473144531 -1.9416786432266235 -9 117
37.0 -1.6774797439575195 -1.9416786432266235 -10 117
37.0 -1.63491690158844 -1.9416786432266235 -11 117
37.0 -1.5924427509307861 -1.9416786432266235 -12 117
37.0 -1.5500644445419312 -1.9416786432266235 -13 117
37.0 -1.5077884197235107 -1.9416786432266235 -14 117
37.0 -1.4762226343154907 -1.9416786432266235 -15 117
37.0 -1.7095222473144531 -1.8980454206466675 -9 116
37.0 -1.6774797439575195 -1.8980454206466675 -10 116
37.0 -1.6349167823791504 -1.8980454206466675 -11 116
37.0 -1.5924427509307861 -1.8980454206466675 -12 116
37.0 -1.5500643253326416 -1.8980454206466675 -13 116
37.0 -1.5077884197235107 -1.8980454206466675 -14 116
37.0 -1.4762226343154907 -1.8980454206466675 -15 116
37.0 -1.7095221281051636 -1.8544121980667114 -9 115
37.0 -1.6774797439575195 -1.8544121980667114 -10 115
37.0 -1.63491690158844 -1.8544121980667114 -11 115
37.0 -1.5924427509307861 -1.8544121980667114 -12 115
37.0 -1.5500643253326416 -1.8544121980667114 -13 115
37.0 -1.5077883005142212 -1.8544121980667114 -14 115
37.0 -1.4762226343154907 -1.8544121980667114 -15 115
37.0 -1.7095222473144531 -1.8107789754867554 -9 114
37.0 -1.6349167823791504 -1.8107789754867554 -11 114
37.0 -1.5924427509307861 -1.8107789754867554 -12 114
37.0 -1.5500643253326416 -1.8107789754867554 -13 114
37.0 -1.5077884197235107 -1.8107789754867554 -14 114
37.0 -1.6774797439575195 -1.8107788562774658 -10 114
37.0 -1.4762226343154907 -1.8107788562774658 -15 114
37.0 -1.7095222473144531 -1.7671457529067993 -9 113
37.0 -1.63491690158844 -1.7671457529067993 -11 113
37.0 -1.5924427509307861 -1.7671457529067993 -12 113
37.0 -1.5500643253326416 -1.7671457529067993 -13 113
37.0 -1.5077884197235107 -1.7671457529067993 -14 113
37.0 -1.4762227535247803 -1.7671457529067993 -15 113
37.0 -1.67747962474823 -1.7671456336975098 -10 113
37.0 -1.7095222473144531 -1.7235124111175537 -9 112
37.0 -1.67747962474823 -1.7235124111175537 -10 112
37.0 -1.6349167823791504 -1.7235124111175537 -11 112
37.0 -1.5924427509307861 -1.7235124111175537 -12 112
37.0 -1.5500643253326416 -1.7235124111175537 -13 112
37.0 -1.5077884197235107 -1.7235124111175537 -14 112
37.0 -1.4762227535247803 -1.7235124111175537 -15 112
37.0 -1.7095221281051636 -1.6798791885375977 -9 111
37.0 -1.6774797439575195 -1.6798791885375977 -10 111
37.0 -1.63491690158844 -1.6798791885375977 -11 111
37.0 -1.5924427509307861 -1.6798791885375977 -12 111
37.0 -1.5500643253326416 -1.6798791885375977 -13 111
37.0 -1.5077884197235107 -1.6798791885375977 -14 111
37.0 -1.4762226343154907 -1.6798791885375977 -15 111
37.0 -1.7095222473144531 -1.6362459659576416 -9 110
37.0 -1.67747962474823 -1.6362459659576416 -10 110
37.0 -1.6349167823791504 -1.6362459659576416 -11 110
37.0 -1.5924427509307861 -1.6362459659576416 -12 110
37.0 -1.5500643253326416 -1.6362459659576416 -13 110
37.0 -1.5077884197235107 -1.6362459659576416 -14 110
37.0 -1.4762226343154907 -1.6362459659576416 -15 110
37.0 -1.7095222473144531 -1.5926127433776855 -9 109
37.0 -1.67747962474823 -1.5926127433776855 -10 109
37.0 -1.6349167823791504 -1.5926127433776855 -11 109
37.0 -1.5924427509307861 -1.5926127433776855 -12 109
37.0 -1.5500643253326416 -1.5926127433776855 -13 109
37.0 -1.5077883005142212 -1.5926127433776855 -14 109
37.0 -1.4762226343154907 -1.5926127433776855 -15 109
37.0 -1.7095222473144531 -1.5489795207977295 -9 108
37.0 -1.67747962474823 -1.5489795207977295 -10 108
37.0 -1.6349167823791504 -1.5489795207977295 -11 108
37.0 -1.5924427509307861 -1.5489795207977295 -12 108
37.0 -1.5500643253326416 -1.5489795207977295 -13 108
37.0 -1.5077884197235107 -1.5489795207977295 -14 108
37.0 -1.4762226343154907 -1.5489795207977295 -15 108
37.0 -1.7095222473144531 -1.5053462982177734 -9 107
37.0 -1.67747962474823 -1.5053462982177734 -10 107
37.0 -1.63491690158844 -1.5053462982177734 -11 107
37.0 -1.5924427509307861 -1.5053462982177734 -12 107
37.0 -1.5500644445419312 -1.5053462982177734 -13 107
37.0 -1.5077884197235107 -1.5053462982177734 -14 107
37.0 -1.4762226343154907 -1.5053462982177734 -15 107
37.0 -1.7095222473144531 -1.4617130756378174 -9 106
37.0 -1.6774797439575195 -1.4617130756378174 -10 106
37.0 -1.63491690158844 -1.4617130756378174 -11 106
37.0 -1.5924427509307861 -1.4617130756378174 -12 106
37.0 -1.5500643253326416 -1.4617130756378174 -13 106
37.0 -1.5077884197235107 -1.4617130756378174 -14 106
37.0 -1.4762226343154907 -1.4617130756378174 -15 106
37.0 -1.7095222473144531 -1.4180798530578613 -9 105
37.0 -1.6774797439575195 -1.4180798530578613 -10 105
37.0 -1.63491690158844 -1.4180798530578613 -11 105
37.0 -1.5924427509307861 -1.4180798530578613 -12 105
37.0 -1.5500643253326416 -1.4180798530578613 -13 105
37.0 -1.5077883005142212 -1.4180798530578613 -14 105
37.0 -1.4762227535247803 -1.4180798530578613 -15 105
37.0 -1.7095222473144531 -1.3744466304779053 -9 104
37.0 -1.6774797439575195 -1.3744466304779053 -10 104
37.0 -1.63491690158844 -1.3744466304779053 -11 104
37.0 -1.5924427509307861 -1.3744466304779053 -12 104
37.0 -1.5500643253326416 -1.3744466304779053 -13 104
37.0 -1.5077884197235107 -1.3744466304779053 -14 104
37.0 -1.4762226343154907 -1.3744466304779053 -15 104
37.0 -1.7095222473144531 -1.3308134078979492 -9 103
37.0 -1.6774797439575195 -1.3308134078979492 -10 103
37.0 -1.6349167823791504 -1.3308134078979492 -11 103
37.0 -1.5924427509307861 -1.3308134078979492 -12 103
37.0 -1.5500643253326416 -1.3308134078979492 -13 103
37.0 -1.5077884197235107 -1.3308134078979492 -14 103
37.0 -1.4762226343154907 -1.3308134078979492 -15 103
37.0 -1.7095222473144531 -1.2871801853179932 -9 102
37.0 -1.67747962474823 -1.2871801853179932 -10 102
37.0 -1.63491690158844 -1.2871801853179932 -11 102
37.0 -1.5924427509307861 -1.2871801853179932 -12 102
37.0 -1.5500643253326416 -1.2871801853179932 -13 102
37.0 -1.5077884197235107 -1.2871801853179932 -14 102
37.0 -1.4762226343154907 -1.2871801853179932 -15 102
37.0 -1.7095222473144531 -1.243546962738037 -9 101
37.0 -1.67747962474823 -1.243546962738037 -10 101
37.0 -1.63491690158844 -1.243546962738037 -11 101
37.0 -1.5924427509307861 -1.243546962738037 -12 101
37.0 -1.5500643253326416 -1.243546962738037 -13 101
37.0 -1.5077884197235107 -1.243546962738037 -14 101
37.0 -1.4762226343154907 -1.243546962738037 -15 101
37.0 -1.7095222473144531 -1.199913740158081 -9 100
37.0 -1.6774797439575195 -1.199913740158081 -10 100
37.0 -1.6349167823791504 -1.199913740158081 -11 100
37.0 -1.5924427509307861 -1.199913740158081 -12 100
37.0 -1.5500643253326416 -1.199913740158081 -13 100
37.0 -1.5077883005142212 -1.199913740158081 -14 100
37.0 -1.4762227535247803 -1.199913740158081 -15 100
37.0 -1.7095222473144531 -1.156280517578125 -9 99
37.0 -1.6774797439575195 -1.156280517578125 -10 99
37.0 -1.6349167823791504 -1.156280517578125 -11 99
37.0 -1.5924427509307861 -1.156280517578125 -12 99
37.0 -1.5500643253326416 -1.156280517578125 -13 99
37.0 -1.5077884197235107 -1.156280517578125 -14 99
37.0 -1.4762226343154907 -1.156280517578125 -15 99
37.0 -1.7095222473144531 -1.112647294998169 -9 98
37.0 -1.67747962474823 -1.112647294998169 -10 98
37.0 -1.6349167823791504 -1.112647294998169 -11 98
37.0 -1.5924427509307861 -1.112647294998169 -12 98
37.0 -1.5500643253326416 -1.112647294998169 -13 98
37.0 -1.5077884197235107 -1.112647294998169 -14 98
37.0 -1.4762226343154907 -1.112647294998169 -15 98
37.0 -1.7095222473144531 -1.069014072418213 -9 97
37.0 -1.6774797439575195 -1.069014072418213 -10 97
37.0 -1.6349167823791504 -1.069014072418213 -11 97
37.0 -1.5924427509307861 -1.069014072418213 -12 97
37.0 -1.5500643253326416 -1.069014072418213 -13 97
37.0 -1.5077884197235107 -1.069014072418213 -14 97
37.0 -1.4762226343154907 -1.069014072418213 -15 97
37.0 -1.7095222473144531 -1.0253808498382568 -9 96
37.0 -1.67747962474823 -1.0253808498382568 -10 96
37.0 -1.5500643253326416 -1.0253808498382568 -13 96
37.0 -1.5077883005142212 -1.0253808498382568 -14 96
37.0 -1.4762226343154907 -1.0253808498382568 -15 96
37.0 -1.63491690158844 -1.0253807306289673 -11 96
37.0 -1.5924427509307861 -1.0253807306289673 -12 96
37.0 -1.7095222473144531 -0.981747567653656 -9 95
37.0 -1.6774797439575195 -0.981747567653656 -10 95
37.0 -1.63491690158844 -0.981747567653656 -11 95
37.0 -1.5924427509307861 -0.981747567653656 -12 95
37.0 -1.5500643253326416 -0.981747567653656 -13 95
37.0 -1.5077884197235107 -0.981747567653656 -14 95
37.0 -1.4762226343154907 -0.981747567653656 -15 95
37.0 -1.7095222473144531 -0.9381144046783447 -9 94
37.0 -1.6774797439575195 -0.9381144046783447 -10 94
37.0 -1.5500643253326416 -0.9381144046783447 -13 94
37.0 -1.63491690158844 -0.9381143450737 -11 94
37.0 -1.5924427509307861 -0.9381143450737 -12 94
37.0 -1.5077884197235107 -0.9381143450737 -14 94
37.0 -1.4762227535247803 -0.9381142854690552 -15 94
37.0 -1.6774797439575195 -0.8944811820983887 -10 93
37.0 -1.5924427509307861 -0.8944811820983887 -12 93
37.0 -1.4762226343154907 -0.8944811820983887 -15 93
37.0 -1.7095222473144531 -0.8944811224937439 -9 93
37.0 -1.6349167823791504 -0.8944811224937439 -11 93
37.0 -1.5500643253326416 -0.8944811224937439 -13 93
37.0 -1.5077884197235107 -0.8944811224937439 -14 93
37.0 -1.6774797439575195 -0.8508479595184326 -10 92
37.0 -1.4762227535247803 -0.8508479595184326 -15 92
37.0 -1.7095222473144531 -0.8508478999137878 -9 92
37.0 -1.6349167823791504 -0.8508478999137878 -11 92
37.0 -1.5924427509307861 -0.8508478999137878 -12 92
37.0 -1.5500643253326416 -0.8508478999137878 -13 92
37.0 -1.5077884197235107 -0.8508478403091431 -14 92
37.0 -1.6349167823791504 -0.8072147369384766 -11 91
37.0 -1.4762226343154907 -0.8072147369384766 -15 91
37.0 -1.7095222473144531 -0.8072146773338318 -9 91
37.0 -1.6774797439575195 -0.8072146773338318 -10 91
37.0 -1.5924427509307861 -0.8072146773338318 -12 91
37.0 -1.5500644445419312 -0.8072146773338318 -13 91
37.0 -1.5077884197235107 -0.8072146773338318 -14 91
37.0 -1.7095222473144531 -0.7635814547538757 -9 90
37.0 -1.6349167823791504 -0.7635814547538757 -11 90
37.0 -1.5500643253326416 -0.7635814547538757 -13 90
37.0 -1.5077884197235107 -0.7635814547538757 -14 90
37.0 -1.67747962474823 -0.763581395149231 -10 90
37.0 -1.5924427509307861 -0.763581395149231 -12 90
37.0 -1.4762226343154907 -0.763581395149231 -15 90
37.0 -1.5924427509307861 -0.7199482917785645 -12 89
37.0 -1.7095222473144531 -0.7199482321739197 -9 89
37.0 -1.5500643253326416 -0.7199482321739197 -13 89
37.0 -1.6774797439575195 -0.7199481725692749 -10 89
37.0 -1.6349167823791504 -0.7199481725692749 -11 89
37.0 -1.5077884197235107 -0.7199481725692749 -14 89
37.0 -1.4762226343154907 -0.7199481725692749 -15 89
37.0 -1.6774797439575195 -0.6763150095939636 -10 88
37.0 -1.6349167823791504 -0.6763150095939636 -11 88
37.0 -1.7095222473144531 -0.6763149499893188 -9 88
37.0 -1.5924427509307861 -0.6763149499893188 -12 88
37.0 -1.5500643253326416 -0.6763149499893188 -13 88
37.0 -1.5077884197235107 -0.6763149499893188 -14 88
37.0 -1.4762226343154907 -0.6763149499893188 -15 88
37.0 -1.5500644445419312 -0.6326817870140076 -13 87
37.0 -1.7095222473144531 -0.6326817274093628 -9 87
37.0 -1.67747962474823 -0.6326817274093628 -10 87
37.0 -1.6349167823791504 -0.6326817274093628 -11 87
37.0 -1.5924427509307861 -0.6326817274093628 -12 87
37.0 -1.5077884197235107 -0.6326817274093628 -14 87
37.0 -1.4762226343154907 -0.6326817274093628 -15 87
37.0 -1.5924427509307861 -0.5890485644340515 -12 86
37.0 -1.7095222473144531 -0.5890485048294067 -9 86
37.0 -1.67747962474823 -0.5890485048294067 -10 86
37.0 -1.63491690158844 -0.5890485048294067 -11 86
37.0 -1.5500643253326416 -0.5890485048294067 -13 86
37.0 -1.5077884197235107 -0.5890485048294067 -14 86
37.0 -1.4762227535247803 -0.5890485048294067 -15 86
37.0 -1.6774797439575195 -0.5454152822494507 -10 85
37.0 -1.63491690158844 -0.5454152822494507 -11 85
37.0 -1.5500643253326416 -0.5454152822494507 -13 85
37.0 -1.5077884197235107 -0.5454152822494507 -14 85
37.0 -1.4762227535247803 -0.5454152822494507 -15 85
37.0 -1.7095222473144531 -0.5454152226448059 -9 85
37.0 -1.5924427509307861 -0.5454152226448059 -12 85
37.0 -1.7095222473144531 -0.5017820596694946 -9 84
37.0 -1.5924427509307861 -0.5017820596694946 -12 84
37.0 -1.4762226343154907 -0.5017820596694946 -15 84
37.0 -1.67747962474823 -0.5017820000648499 -10 84
37.0 -1.6349167823791504 -0.5017820000648499 -11 84
37.0 -1.5500643253326416 -0.5017820000648499 -13 84
37.0 -1.5077884197235107 -0.5017820000648499 -14 84
37.0 -1.7095222473144531 -0.45814886689186096 -9 83
37.0 -1.5500643253326416 -0.4581488370895386 -13 83
37.0 -1.4762227535247803 -0.4581488370895386 -15 83
37.0 -1.67747962474823 -0.4581488072872162 -10 83
37.0 -1.6349167823791504 -0.4581488072872162 -11 83
37.0 -1.5924427509307861 -0.4581488072872162 -12 83
37.0 -1.5077884197235107 -0.4581487774848938 -14 83
37.0 -1.7095222473144531 -0.4145156145095825 -9 82
37.0 -1.6774797439575195 -0.4145156145095825 -10 82
37.0 -1.4762226343154907 -0.4145156145095825 -15 82
37.0 -1.63491690158844 -0.41451558470726013 -11 82
37.0 -1.5500643253326416 -0.41451558470726013 -13 82
37.0 -1.5077884197235107 -0.41451558470726013 -14 82
37.0 -1.5924427509307861 -0.41451555490493774 -12 82
37.0 -1.67747962474823 -0.37088239192962646 -10 81
37.0 -1.5500644445419312 -0.37088239192962646 -13 81
37.0 -1.6349167823791504 -0.3708823621273041 -11 81
37.0 -1.5924427509307861 -0.3708823621273041 -12 81
37.0 -1.5077884197235107 -0.3708823621273041 -14 81
37.0 -1.4762227535247803 -0.3708823621273041 -15 81
37.0 -1.7095222473144531 -0.3708823323249817 -9 81
37.0 -1.6774797439575195 -0.3272491693496704 -10 80
37.0 -1.5924427509307861 -0.3272491693496704 -12 80
37.0 -1.5500643253326416 -0.3272491693496704 -13 80
37.0 -1.4762227535247803 -0.3272491693496704 -15 80
37.0 -1.7095222473144531 -0.327249139547348 -9 80
37.0 -1.5077884197235107 -0.327249139547348 -14 80
37.0 -1.6349167823791504 -0.32724910974502563 -11 80
37.0 -1.63491690158844 -0.28361591696739197 -11 79
37.0 -1.4762227535247803 -0.28361591696739197 -15 79
37.0 -1.7095222473144531 -0.2836158871650696 -9 79
37.0 -1.6774797439575195 -0.2836158871650696 -10 79
37.0 -1.5924427509307861 -0.2836158871650696 -12 79
37.0 -1.5500643253326416 -0.2836158871650696 -13 79
37.0 -1.5077884197235107 -0.2836158871650696 -14 79
37.0 -1.5924427509307861 -0.23998267948627472 -12 78
37.0 -1.5500643253326416 -0.23998267948627472 -13 78
37.0 -1.5077884197235107 -0.23998267948627472 -14 78
37.0 -1.7095222473144531 -0.23998266458511353 -9 78
37.0 -1.6774797439575195 -0.23998266458511353 -10 78
37.0 -1.6349167823791504 -0.23998266458511353 -11 78
37.0 -1.4762226343154907 -0.23998266458511353 -15 78
37.0 -1.63491690158844 -0.19634945690631866 -11 77
37.0 -1.4762227535247803 -0.19634945690631866 -15 77
37.0 -1.7095222473144531 -0.19634944200515747 -9 77
37.0 -1.5500643253326416 -0.19634944200515747 -13 77
37.0 -1.5077884197235107 -0.19634944200515747 -14 77
37.0 -1.5924427509307861 -0.19634942710399628 -12 77
37.0 -1.67747962474823 -0.19634941220283508 -10 77
37.0 -1.6349167823791504 -0.15271621942520142 -11 76
37.0 -1.5500643253326416 -0.15271621942520142 -13 76
37.0 -1.5077884197235107 -0.15271621942520142 -14 76
37.0 -1.4762227535247803 -0.15271621942520142 -15 76
37.0 -1.7095222473144531 -0.15271620452404022 -9 76
37.0 -1.67747962474823 -0.15271620452404022 -10 76
37.0 -1.5924427509307861 -0.15271620452404022 -12 76
37.0 -1.63491690158844 -0.10908298939466476 -11 75
37.0 -1.7095222473144531 -0.10908298194408417 -9 75
37.0 -1.4762226343154907 -0.10908298194408417 -15 75
